sep=,
org_x,org_y,org_z,hit,hit_x,hit_y,hit_z
-10,-10,1,1,-10,-10,-1.78886
-9.8,-10,1,1,-9.8,-10,-1.50639
-9.6,-10,1,1,-9.6,-10,-1.22392
-9.4,-10,1,1,-9.4,-10,-1.16233
-9.2,-10,1,1,-9.2,-10,-1.16233
-9,-10,1,1,-9,-10,-1.16233
-8.8,-10,1,1,-8.8,-10,-1.16233
-8.6,-10,1,1,-8.6,-10,-1.16233
-8.4,-10,1,1,-8.4,-10,-1.16233
-8.2,-10,1,1,-8.2,-10,-1.16233
-8,-10,1,1,-8,-10,-1.16233
-7.8,-10,1,1,-7.8,-10,-1.31831
-7.6,-10,1,1,-7.6,-10,-1.60078
-7.4,-10,1,1,-7.4,-10,-1.88325
-7.2,-10,1,1,-7.2,-10,-2.16572
-7,-10,1,1,-7,-10,-2.44819
-6.8,-10,1,1,-6.8,-10,-2.73066
-6.6,-10,1,1,-6.6,-10,-2.62442
-6.4,-10,1,1,-6.4,-10,-2.34195
-6.2,-10,1,1,-6.2,-10,-2.05948
-6,-10,1,1,-6,-10,-1.77701
-5.8,-10,1,1,-5.8,-10,-1.49454
-5.6,-10,1,1,-5.6,-10,-1.23639
-5.4,-10,1,1,-5.4,-10,-1.23639
-5.2,-10,1,1,-5.2,-10,-1.23639
-5,-10,1,1,-5,-10,-1.23639
-4.8,-10,1,1,-4.8,-10,-1.23639
-4.6,-10,1,1,-4.6,-10,-1.23639
-4.4,-10,1,1,-4.4,-10,-1.23639
-4.2,-10,1,1,-4.2,-10,-1.22946
-4,-10,1,1,-4,-10,-1.22946
-3.8,-10,1,1,-3.8,-10,-0.968057
-3.6,-10,1,1,-3.6,-10,-0.685587
-3.4,-10,1,1,-3.4,-10,-0.403117
-3.2,-10,1,1,-3.2,-10,-0.120647
-3,-10,1,1,-3,-10,-0.161823
-2.8,-10,1,1,-2.8,-10,-0.444294
-2.6,-10,1,1,-2.6,-10,-0.726764
-2.4,-10,1,1,-2.4,-10,-1.00923
-2.2,-10,1,1,-2.2,-10,-1.2917
-2,-10,1,1,-2,-10,-1.57417
